,experiment,condition,subject,block,level_4,p,nll,bic,model
65,2,new_learn,76,2,1,-50.72722468024676,45.63783152922997,105.09117361642421,nll_glc_0
66,2,new_learn,76,2,2,21.692433786216156,45.63783152922997,105.09117361642421,nll_glc_0
67,2,new_learn,76,2,0,-0.9999993153337506,71.59975468980393,157.01501993757213,nll_glc_1
68,2,new_learn,76,2,1,57.76761438679362,71.59975468980393,157.01501993757213,nll_glc_1
69,2,new_learn,76,2,2,38.86391530947455,71.59975468980393,157.01501993757213,nll_glc_1
70,2,new_learn,76,6,0,53.56063554111052,90.52693557255031,190.2642115170768,nll_unix_0
71,2,new_learn,76,6,1,37.722569875274715,90.52693557255031,190.2642115170768,nll_unix_0
72,2,new_learn,76,6,0,44.410428080995054,71.572189265442,152.35471890286018,nll_unix_1
73,2,new_learn,76,6,1,37.73963514715915,71.572189265442,152.35471890286018,nll_unix_1
74,2,new_learn,76,6,0,56.13346828446868,48.21674506187259,105.64383049572136,nll_uniy_0
75,2,new_learn,76,6,1,27.325444830695208,48.21674506187259,105.64383049572136,nll_uniy_0
76,2,new_learn,76,6,0,46.147232111627034,119.24458107079157,247.6995025135593,nll_uniy_1
77,2,new_learn,76,6,1,37.74057089256384,119.24458107079157,247.6995025135593,nll_uniy_1
78,2,new_learn,76,6,0,0.01948669225526478,48.202461085838834,110.22043272964194,nll_glc_0
79,2,new_learn,76,6,1,-57.549350786809285,48.202461085838834,110.22043272964194,nll_glc_0
80,2,new_learn,76,6,2,27.197340532385596,48.202461085838834,110.22043272964194,nll_glc_0
81,2,new_learn,76,6,0,0.9999999058298699,71.587261495863,156.99003354969028,nll_glc_1
82,2,new_learn,76,6,1,-44.45362077171939,71.587261495863,156.99003354969028,nll_glc_1
83,2,new_learn,76,6,2,37.72877479217099,71.587261495863,156.99003354969028,nll_glc_1
84,2,new_learn,78,2,0,51.8080796592818,113.6201840277694,236.45070842751497,nll_unix_0
85,2,new_learn,78,2,1,38.298734319584256,113.6201840277694,236.45070842751497,nll_unix_0
86,2,new_learn,78,2,0,55.99156462378673,43.713621282459464,96.63758293689511,nll_unix_1
87,2,new_learn,78,2,1,22.115236347942787,43.713621282459464,96.63758293689511,nll_unix_1
88,2,new_learn,78,2,0,51.88058785818773,69.54638811306985,148.30311659811588,nll_uniy_0
89,2,new_learn,78,2,1,38.288654208723386,69.54638811306985,148.30311659811588,nll_uniy_0
90,2,new_learn,78,2,0,55.54820884096243,86.10988723847922,181.4301148489346,nll_uniy_1
91,2,new_learn,78,2,1,38.298508150871726,86.10988723847922,181.4301148489346,nll_uniy_1
92,2,new_learn,78,2,0,-0.8965534011991567,33.23488985940573,80.28529027677574,nll_glc_0
93,2,new_learn,78,2,1,25.38525869260469,33.23488985940573,80.28529027677574,nll_glc_0
94,2,new_learn,78,2,2,14.046481688049171,33.23488985940573,80.28529027677574,nll_glc_0
95,2,new_learn,78,2,0,0.9999999386886134,43.730274913189575,101.27606038434342,nll_glc_1
96,2,new_learn,78,2,1,-55.82491473164592,43.730274913189575,101.27606038434342,nll_glc_1
97,2,new_learn,78,2,2,22.400366616960692,43.730274913189575,101.27606038434342,nll_glc_1
98,2,new_learn,78,6,0,57.272811716211315,88.17993660848731,185.5702135889508,nll_unix_0
99,2,new_learn,78,6,1,38.23036368920141,88.17993660848731,185.5702135889508,nll_unix_0
100,2,new_learn,78,6,0,47.002359240370396,64.6399307833308,138.49020193863777,nll_unix_1
101,2,new_learn,78,6,1,38.20906628613545,64.6399307833308,138.49020193863777,nll_unix_1
102,2,new_learn,78,6,0,52.459725661410886,63.50656101688688,136.22346240574993,nll_uniy_0
103,2,new_learn,78,6,1,38.22812180661185,63.50656101688688,136.22346240574993,nll_uniy_0
104,2,new_learn,78,6,0,41.50598493361831,89.17374339318414,187.55782715834445,nll_uniy_1
