condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'reach'}",24,285,Left,15.530979776260125,34.07563159491632,0.7765489888130063,0.5352587694251066,Left,Correct,0.0,0.0,-45,45,2005,943,-2.37
"{'cat': 'II', 'resp': 'reach'}",24,286,Right,73.87565783078365,47.980174891349165,3.6937828915391826,0.75367082478308,Right,Correct,0.0,0.0,-45,45,2011,817,-0.8
"{'cat': 'II', 'resp': 'reach'}",24,287,Right,40.38189141020956,14.215175859556929,2.019094570510478,0.22329146024935512,Right,Correct,0.0,0.0,-45,45,2009,2323,-0.81
"{'cat': 'II', 'resp': 'reach'}",24,288,Right,77.6479232624801,57.94731722904104,3.8823961631240054,0.9102343305099629,Right,Correct,0.0,0.0,-45,45,2004,1025,-0.85
"{'cat': 'II', 'resp': 'reach'}",24,289,Right,39.077240327183475,18.59083728332082,1.9538620163591736,0.2920241891668196,Right,Correct,0.0,0.0,-45,45,2006,1738,-0.76
"{'cat': 'II', 'resp': 'reach'}",24,290,Left,64.36902224102599,78.89200666435622,3.2184511120512993,1.2392327428184924,Left,Correct,0.0,0.0,-45,45,2002,1483,-2.29
"{'cat': 'II', 'resp': 'reach'}",24,291,Right,82.6870480799674,53.047430901492916,4.13435240399837,0.8332670960597116,Right,Correct,0.0,0.0,-45,45,2006,1331,-0.85
"{'cat': 'II', 'resp': 'reach'}",24,292,Left,13.302837402578138,32.59819488745906,0.6651418701289069,0.5120512478936486,Left,Correct,0.0,0.0,-45,45,2003,1074,-2.4
"{'cat': 'II', 'resp': 'reach'}",24,293,Right,63.5533431510489,34.663557585833736,3.177667157552445,0.5444938892947101,Right,Correct,0.0,0.0,-45,45,2007,1091,-0.84
"{'cat': 'II', 'resp': 'reach'}",24,294,Left,45.61156170335596,61.74938288936753,2.280578085167798,0.9699570382447017,Left,Correct,0.0,0.0,-45,45,2003,3102,-2.38
"{'cat': 'II', 'resp': 'reach'}",24,295,Left,26.167479528545016,52.03996077080421,1.3083739764272508,0.8174417922532977,Left,Correct,0.0,0.0,-45,45,2008,1187,-2.39
"{'cat': 'II', 'resp': 'reach'}",24,296,Right,43.752362574076365,19.20746807146434,2.1876181287038183,0.30171020293686446,Right,Correct,0.0,0.0,-45,45,2008,1551,-0.8
"{'cat': 'II', 'resp': 'reach'}",24,297,Left,26.20668185140041,42.53410786555644,1.3103340925700206,0.6681242039871397,Left,Correct,0.0,0.0,-45,45,2006,1027,-2.28
"{'cat': 'II', 'resp': 'reach'}",24,298,Right,40.680983671740975,24.803149270916734,2.034049183587049,0.38960695767701525,Right,Correct,0.0,0.0,-45,45,2008,1325,-0.84
"{'cat': 'II', 'resp': 'reach'}",24,299,Right,71.19182910763203,57.59446636916491,3.5595914553816015,0.9046917621639644,Right,Correct,0.0,0.0,-45,45,2006,1080,-0.72
"{'cat': 'II', 'resp': 'reach'}",24,300,Left,18.998428074311093,46.29329888015262,0.9499214037155547,0.7271734383616204,Left,Correct,0.0,0.0,-45,45,2006,945,-2.37
"{'cat': 'II', 'resp': 'reach'}",24,301,Right,46.28394401013034,33.221004492641526,2.3141972005065172,0.5218343182947807,Right,Correct,0.0,0.0,-45,45,2001,1267,-0.84
"{'cat': 'II', 'resp': 'reach'}",24,302,Left,38.36391937018743,61.08958897830515,1.9181959685093717,0.9595930197253174,Left,Correct,0.0,0.0,-45,45,2009,872,-2.43
"{'cat': 'II', 'resp': 'reach'}",24,303,Left,47.386580304886806,59.600619808021676,2.3693290152443405,0.936204346691396,Right,Incorrect,0.0,0.0,-45,45,2008,3567,-0.74
"{'cat': 'II', 'resp': 'reach'}",24,304,Left,69.07045452405868,89.14177259107649,3.4535227262029338,1.4002356895004895,Left,Correct,0.0,0.0,-45,45,2003,1305,-2.36
"{'cat': 'II', 'resp': 'reach'}",24,305,Right,34.16828341947556,21.66840861854394,1.708414170973778,0.340366566654997,Left,Incorrect,0.0,0.0,-45,45,2003,1113,-2.39
"{'cat': 'II', 'resp': 'reach'}",24,306,Right,48.97029058078889,24.73130569113112,2.4485145290394446,0.3884784413647048,Right,Correct,0.0,0.0,-45,45,2009,1170,-0.79
"{'cat': 'II', 'resp': 'reach'}",24,307,Left,35.962648330567696,44.896151798306626,1.798132416528385,0.7052271033200613,Right,Incorrect,0.0,0.0,-45,45,2008,1473,-0.82
"{'cat': 'II', 'resp': 'reach'}",24,308,Left,31.15497437342526,57.499319216689194,1.557748718671263,0.9031971941878261,Left,Correct,0.0,0.0,-45,45,2008,1478,-2.33
"{'cat': 'II', 'resp': 'reach'}",24,309,Left,18.305149794427535,39.13341997438653,0.9152574897213768,0.6147063235068839,Left,Correct,0.0,0.0,-45,45,2008,1057,-2.46
"{'cat': 'II', 'resp': 'reach'}",24,310,Left,30.22548132603757,60.95422541763682,1.5112740663018787,0.9574667338865201,Left,Correct,0.0,0.0,-45,45,2006,1465,-2.29
"{'cat': 'II', 'resp': 'reach'}",24,311,Left,58.47648287430408,85.67800838924732,2.9238241437152044,1.3458270086493205,Left,Correct,0.0,0.0,-45,45,2009,1245,-2.31
"{'cat': 'II', 'resp': 'reach'}",24,312,Right,86.63637739895789,68.8804080963926,4.331818869947894,1.0819709202594696,Right,Correct,0.0,0.0,-45,45,2009,2589,-0.83
"{'cat': 'II', 'resp': 'reach'}",24,313,Left,27.439085508019346,48.2799442746689,1.3719542754009673,0.7583795912451221,Left,Correct,0.0,0.0,-45,45,2002,931,-2.36
"{'cat': 'II', 'resp': 'reach'}",24,314,Right,81.2249244044086,61.284692753667784,4.06124622022043,0.9626577026621517,Right,Correct,0.0,0.0,-45,45,2004,1092,-0.81
"{'cat': 'II', 'resp': 'reach'}",24,315,Left,38.88082536109546,47.63804426701278,1.944041268054773,0.7482966495031635,Right,Incorrect,0.0,0.0,-45,45,2012,1482,-0.73
